"id_idee","id_membre","link","id_categorie","idee","provenance","tags","statut","date_post","id_v1"
"1",NULL,NULL,"3","Je viens de découvrir le meilleur anti-cerne !  Tester la touche éclat de Gemey. Génialissime !","1",,"1","2009-07-03 00:00:00","Patricia"
"2",NULL,NULL,"5","Pour avoir une impression de satiété avant les repas, il faut boire beaucoup d’eau juste avant de se mettre à table. C’est incroyable comme çà fonctionne !","1",,"1","2009-07-03 00:00:00","Nadine"
"3",NULL,NULL,"5","J’ai une astuce pour dégonfler aprés le sport et se sentir plus légére, je me mets les jambes sous leau froide pendant un quart d’heure et apres je les mets en hauteur pdt qqs minutes.","1",,"1","2009-07-03 00:00:00","Carmen"
"4",NULL,NULL,"3","Pour toutes celles qui ont des pbs de peau, g decouvert un truc genial : le Zinc!  Complexe à boire ou à avaler en gelules, ça fctionne grave","1",,"1","2009-07-03 00:00:00","butterfly"
"143","1",NULL,"7","Allez au festival du cinéma à Paris c'est en ce moment !",NULL,"cinéma festival Paris","1","2009-07-04 13:23:50",NULL
"144","86",NULL,"7"," Kelly Rowland, l’interprète de « When Love Takes Over », le new David Guetta,était au VIP ROOM à Paris hier soir pour un concert !",NULL,"concert vip room paris  Kelly Rowland","1","2009-07-04 13:27:16",NULL
"145","92",NULL,"3","Alli caca,
J'ai testé pour vous alli et n'ai eu ni diarrhée, ni symptomes désagréables ni d'ailleurs de perte de poids. Je fais un régime qui me fait perdre du poids.",NULL,,"1","2009-07-04 22:33:43",NULL
"7",NULL,NULL,"3","Plus de contours de lévres marrons et vulgaires ! Faut arréter, c’est totalement OUT !","1",,"1","2009-07-03 00:00:00","Mutine"
"141","81",NULL,"1","Vente privée de lunettes de soleil sur Chicdressing.com !",NULL,"mode sunglasses soleil lunettes","1","2009-07-03 15:12:38",NULL
"140","81",NULL,"7","Le Club des Estivales de l'Hippodrome de Cabourg, c'est tous les mardis du 3 juillet au 28 août !",NULL,"cabourg hippodrome","1","2009-07-03 15:09:04",NULL
"142","87",NULL,"7","Veuillez trouver ci-joint Les dates Parisiennes de 
Las Kellies [Rock Ladies Rock!] 
venues tout droit de Buenos Aires!!

Concerts gratuits sur Paris!
Merci pour l’insertion dans vos agendas !
",NULL,"musique concert rock bon plan detente astro sexe beauté mode détente","1","2009-07-03 18:35:53",NULL
"10",NULL,NULL,"1","Vive les sacs Zoé la fée. J’habite Aix-en-pce. Je conseille à toutes les \"nanas\" lol les boutik suivantes : Kitch, et shop bazar où ils en vendent.","1",,"1","2009-07-03 00:00:00","Faze"
"11",NULL,NULL,"5","Je connais une astuce tiptop pour ne pas avoir envie de grignoter : Boire un grand verre d’eau, et aprés prendre un fruit riche en fibres comme la pomme ou la pêche. Normallement, ça cale grave.","1",,"1","2009-07-03 00:00:00","Syde"
"12",NULL,NULL,"5","Grâce au bodypump, un cours de muscu en musik, g perdu 4 kilos et en +, jme suis grave affinée la taille et muscler mes triceps ! Je kiffe. essayer, c’est trop bien","1",,"1","2009-07-03 00:00:00","Perrine"
"13",NULL,NULL,"1","Petite info pour les filles qui kiffent les sapes vintage ! Cours Julien à Marseille, il y a des créateurs sympas et pas trop chers qui vendent des sacs géniaux...avis aux amatrices de mode","1",,"1","2009-07-03 00:00:00","Bzz"
"155","86",NULL,"7","Le testament de Michael Jackson révèle que l'intégralité de ses biens au Fonds de la Famille Michael Jackson. 40% pour sa mère, 40% pour les 3 enfants du chanteurs et le reste à des assoc !",NULL,"michael jackson testament","1","2009-07-06 15:31:59",NULL
"151","86",NULL,"8","Vos appareils électroniques consomment trop !
Les appareils high tech sont en train de devenir de véritables polluants. Selon l'Agence internationale de l'énergie, il faut imposer aux fabricants des",NULL,"bien-être high-tech pollution appareils électroniques","1","2009-07-06 15:13:20",NULL
"146","1",NULL,"7","So Jackson Live hier soir organisée par LeMost.fr : soirée EXTRA !",NULL,"Jackson Michael Le Most","1","2009-07-05 10:58:52",NULL
"147","86",NULL,"7","Bipèdes de Pluttark est un mode d'emploi très drôle pour les hommes et pour les femmes ! Une analyse délirante sur nos comportements !",NULL,"livre comportements psychologie homme femme","1","2009-07-05 21:27:51",NULL
"148","86",NULL,"5","Les probiotiques sont extraordinaires pour un bien-être intestinal et contre le surpoids et les ballonnements !",NULL,"minceur santé bien-être probiotiques intestins","1","2009-07-05 21:44:17",NULL
"149","97",NULL,"7","Du 20 octobre 2009 au 7 février 2010, découvrez au château de Versailles une exposition sur Louis XIV. Des objets personnels du roi (encore jamais exposés) seront dévoilés, parmi tant d'autre.",NULL,,"1","2009-07-06 13:43:33",NULL
